FECHA,ID_EXTERNO,NOMBRE,ALBUM,BANDA,ARTISTA,DURACION,GENERO,SUBGENERO,BANDAS_SIMILARES,TAGS,INSTRUMENTOS
04/13/20 05:04PM,18,Sharable composite monitoring,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,1:26,Pop,Electronic,Christopher Hawkins; Thomas Hart; Lucas Gonzalez; Gregory Bennett; Emily Melton,hopeful; Uplifting; Emotional; Building; Inspirational; Love,Synth Bass; Synthesizer; Synth Pad; Electronic Drums; Percussion
04/13/20 05:05PM,19,De-engineered empowering installation,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:26,Pop,Electronic,Chelsea Williams; Sarah Bowers; Jessica Lamb; Walter Ramirez; Michael Moyer,hopeful; Uplifting; Emotional; Building; Inspirational; Love,Synth Bass; Synthesizer; Synth Pad; Electronic Drums; Percussion; Acoustic Guitar; Piano
04/13/20 08:37PM,20,Fully-configurable executive time-frame,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,2:00,R&B,Contemporary,Monica Pennington; David Foster; Melissa Barnes; Lori Parker; Jonathan Benjamin,Laid Back; Synth; transitonal; Echo; Relaxed; Easy Listening,Drums; Bass Guitar; Synth Pad; Percussion; Strings
04/14/20 12:11PM,21,Re-contextualized context-sensitive encryption,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:00,Orchestral,Piano,Juan Frye; Brittany Donovan; Jimmy Ferguson; William Murphy; Dana Richards,Uplifting; hopeful; commercial; Movie Score; Emotional; Dynamic; Love; Inspirational,Piano; Electric Guitar; Strings; Drums; Percussion; Cymbals; Electric Piano; Synth Bass
04/14/20 06:46PM,22,Multi-layered explicit algorithm,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,1:42,Pop,Electronic,Erin Edwards; Christopher Nelson; Christopher Tate; Mary Peterson; Robin Lewis,Moving; Chill; Emotional; Building; Good Vibes; Relaxed,Synth Bass; Synthesizer; Synth Pad; Piano; Electronic Drums; Cymbals
04/15/20 02:14PM,23,Multi-lateral tangible approach,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,1:41,Hip Hop,Modern,Jessica Hernandez; Ashley Winters; Michele Hanna; Amy Edwards; Gary Wolf,Hip Hop; Modern; Tense; Suspense; Anthem; Dramatic,Synth Bass; Electronic Drums; Synthesizer; Synth Pad; Sound Effects; Cymbals; Percussion
04/15/20 03:08PM,24,Operative directional focus group,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:15,Orchestral,Contemporary,Cheryl Johnston; April Wilson; Lindsey Brown; Edward Bell; Randy Russo MD,Easy Listening; Timing; Relaxed; Peaceful; Rainy day; neutral,Piano; Upright Bass; Drums; Cello; Viola; Acoustic Guitar; Bass Guitar
04/16/20 06:52PM,25,Multi-tiered cohesive customer loyalty,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:45,Pop,Dance,Justin Joseph; Darryl Smith; Samuel Cannon; David Roberts; Sara Barrera,Groovy; Rhythmic; Upbeat; Summer; Feel Good; Dance; Happy,Keyboards; Bass Guitar; Synthesizer; Percussion
04/16/20 07:56PM,26,Public-key zero-defect challenge,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:34,Hip Hop,None,Richard Byrd; Steven Davis; Sandra Anderson; Melissa Bailey; Mary Williams,Upbeat; Rhythmic; Dynamic; Quirky; Fun; Mysterious,Shakers Maracas; Synth Bass; Synthesizer; Electronic Drums; Piano; Wind Ensemble; Brass Section; Strings; Vibraphone; Marimba; Cowbell; Percussion
04/17/20 04:42PM,27,Seamless empowering collaboration,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:40,Electronica,Club Dance,James Short; Walter Ramirez; Keith Rodriguez; Rachel Koch; Adrian Holmes,Jersey Shore; Night Life; Latin Pop; Dance; Club; Party; zumba,Trumpet; Synth Bass; Synthesizer; Synth Pad; Percussion; Shakers Maracas; Electronic Drums
04/21/20 04:12PM,28,Team-oriented background hardware,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,1:51,Electronica,Club Dance,Alyssa Thomas; Arthur Fleming; Kristen Rodriguez; Dylan Thomas; Tyler Pruitt,Jersey Shore; Partying; Nightlife; Drinking; Upbeat; Dance; Club,Synth Bass; Electronic Drums; Shakers Maracas; Synthesizer; Synth Pad; Sound Effects
04/22/20 06:09PM,29,Upgradable dedicated task-force,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:42,Hip Hop,Rap,Melinda Holt; David Hopkins; Carol Jacobs; Jody Cabrera; James Hernandez,Rhythmic; Anthemic; Catchy; Night drive; Chill; kickback; Party,Synth Bass; Electronic Drums; Synthesizer; Percussion
04/23/20 06:34AM,30,Managed static focus group,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:31,Hip Hop,Modern,Michele Hanna; Kelly Wilson; Angel Murphy; Tammy Mcbride; Cheryl Scott,Rhythmic; Catchy; Night; kickback; Party; Tense,Synth Bass; Synthesizer; Drums; Percussion
04/23/20 06:35AM,31,Object-based bandwidth-monitored policy,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:51,Hip Hop,Modern,Christopher Hawkins; Mary Freeman; Peter Reeves; Danielle Garcia; Amy Edwards,Upbeat; Rhythmic; Night; kickback; Party; Tense; Catchy,Synth Bass; Synthesizer; Drums; Percussion
04/23/20 06:55AM,32,Cloned 24/7 focus group,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:30,Hip Hop,Modern,Jennifer Pitts; Diana Porter; Christopher Velasquez; Lisa Scott; Christopher Tate,Upbeat; Party; kickback; Hip Hop; Rhythmic; Night; Catchy,Synth Bass; Synthesizer; Drums; Percussion
04/23/20 06:15PM,33,Self-enabling impactful firmware,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:36,Hip Hop,Modern,Troy Rodriguez Jr.; Amy Harrington; Taylor Garcia; William Prince; Marcus Johnson,Upbeat; Catchy; Video Game; Party; kickback; Intense; Night,Synth Bass; Synthesizer; Piano; Electronic Drums; Brass Section; Shakers Maracas; Percussion
04/27/20 03:31PM,34,Seamless radical superstructure,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:30,Pop,Adult Contemporary,Allison Johnson; Jerry Francis; Jacqueline Rivera; Tracy Huynh; Caroline Wheeler,Upbeat; Happy; Feel Good; Chill; Good Vibes; Catchy,Synth Bass; Synthesizer; Synth Pad; Electronic Drums; Tambourine; Sound Effects; Percussion
04/27/20 06:30PM,35,Public-key multi-state Internet solution,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:49,Pop,Acoustic,Frank Hunt; Michael Frey; Dana Rivera; Donna Martin; Jennifer Stewart,Cute; Sweet; Love; Young Love; Easy Listening; coffeeshop; Romantic; Feel Good,Acoustic Guitar; Bass Guitar; Drums; Shakers Maracas; Marimba; Mellotron; Percussion
04/29/20 02:53PM,36,Automated context-sensitive application,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,1:02,Orchestral,Piano,Melissa Ramirez; Nathaniel Osborne; Danielle Zuniga; Michelle Pena; Patrick Smith,Somber; reflective; Sad; Pensive; Emotional; Piano solo,Piano
04/29/20 05:53PM,37,Innovative executive capability,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,2:01,Orchestral,Piano,Maria Rice; Jeffery Moore; Kayla Willis; Benjamin Powell; Vanessa Davis,Happy; Light Hearted; Easy Listening; hopeful; Uplifting; Peaceful,Strings; Piano
04/30/20 06:23PM,38,Reduced intermediate website,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:34,Pop,Electronic,Miguel Castaneda; Ashley Cortez; Diane Mcdonald; Shannon Wong; James Reynolds,Feel Good; Relaxed; Chill; Good Vibes; Upbeat; Groovy; Dance; Party,Synth Bass; Synthesizer; Synth Pad; Shakers Maracas; Piano; Percussion; Electronic Drums
05/01/20 01:02PM,39,Optional 3rdgeneration monitoring,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,3:13,Electronica,EDM,Kelsey Gordon; Lisa Obrien; Claudia Salas; Shawn Andrews; Jesus Smith,Party; Dance; edm; House; Upbeat; Rave; Club; Drinking; Workout,Synth Bass; Synth Pad; Synthesizer; Electric Guitar; Electronic Drums; Piano; Electric Piano; Drums; Turntables; Sound Effects; Cymbals; Percussion
05/01/20 05:15PM,40,Object-based systemic hub,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,1:40,Pop,Teen,Joseph Andersen; Michael Rogers; Heidi Smith; Taylor Garcia; Gary Delgado,Dramatic; Slow; Emotional; moody; Rhythmic; Low Fi,Percussion; Synth Pad; Keyboards
05/01/20 05:18PM,41,Adaptive even-keeled archive,Marrón madera rústica,Claudio Albino Fabra Gual,Andrew Morales,1:56,Electronica,EDM,Victor Morales; Rachael Franklin; Julie Rodriguez; Jonathan Benjamin; Aaron Lambert,Dance; Party; Club; Drinking; Fun; edm; Rave; Workout,Synth Pad; Electronic Drums; Keyboards
05/05/20 01:45PM,42,Secured tangible structure,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,2:04,Pop,Acoustic,Brian Hoffman; James Davis; Gloria Williams; Joshua Ward; Haley Navarro,Light; Simple; Love; Romantic; Emotional; reflective; Nostalgic,Acoustic Guitar; Drums; Percussion; Hand Drums; Synthesizer
05/07/20 06:28PM,43,User-friendly maximized moderator,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,2:34,Orchestral,Film Score,Diana Porter; Amber Davenport; Kenneth Butler; Amber Miles; John Rogers,Dramatic; Intense; Tension; Suspense; Mysterious; Fast Paced; Uncertain,Synth Pad; Synthesizer; Choir; Brass; Strings
05/07/20 06:52PM,44,Upgradable mission-critical structure,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,2:39,Orchestral,Film Score,Danielle Garcia; Dylan Porter; Cheryl Scott; Ronald Rhodes; Sarah Austin,Dark; Dramatic; Tense; Suspenseful; Mysterious; Uncertain; Sci Fi,Synth Bass; Synth Pad; Synthesizer; Brass; Strings; Choir; Percussion
05/07/20 07:56PM,45,Profound explicit process improvement,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,2:34,Orchestral,Film Score,Stephanie Durham; Adrian Holmes; Jennifer Mcdowell; Emily Salazar; Joseph Andersen,Upbeat; Dramatic; Tense; Mysterious; Suspenseful; Uncertain; Dark; Fast Paced,Synth Bass; Timpani; Strings; Brass; Choir; Synthesizer
05/07/20 09:00PM,46,Realigned cohesive framework,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,3:00,Orchestral,Film Score,Jay Cobb; Mr. James Ross DDS; Mark Hines; James Bradley; Ellen Terry,Dramatic; Tense; Suspenseful; Mysterious; Uncertain; Sci Fi,Acoustic Guitar; Synth Bass; Synth Pad; Synthesizer; Piano; Harp; Vibraphone; Clarinet; Strings; Choir
05/08/20 12:11PM,47,Multi-layered empowering hardware,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:42,Hip Hop,Modern,Jennifer Conner; Lisa Obrien; Miss Kimberly Long; Christine Romero; Shannon Mccall,Upbeat; Catchy; Rhythmic; Party; kickback; Night drive; Chill,Synthesizer; Synth Bass; Electronic Drums; Sound Effects; Synth Pad; Cymbals; Percussion
05/08/20 02:07PM,48,Reduced systemic intranet,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,2:36,Orchestral,Film Score,Kari Parks; Joseph Miranda; Amy Edwards; Alex Cisneros; Eric Adams,Dramatic; Tense; Mysterious; Suspenseful; Uncertain; reflective; Sci Fi,Piano; Synth Bass; Synth Pad; Synthesizer
05/08/20 05:23PM,49,Distributed attitude-oriented instruction set,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,2:38,Orchestral,Contemporary,Jonathan Taylor; Mr. Joseph Yang; Jacob Hines; Peter Smith; Donna Martin,Ambient; space; Sci Fi; Mysterious; Tense; Suspense,Piano; Mallets; Synthesizer; Percussion
05/08/20 05:35PM,50,Reduced zero-defect time-frame,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,2:36,Orchestral,Film Score,Christina Cook; Darren Hale; Kari Parks; Robert Wilson; Victor Morales,Ambient; Intense; Mysterious; Suspense; Sci Fi; space; Uncertain,Synthesizer; Wind Ensemble; Strings; Piano; Percussion
05/08/20 05:46PM,51,Organized bottom-line implementation,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,3:30,Orchestral,Film Score,Calvin Benjamin; Aaron Tran; Amy Haney; Melinda Holt; Kari Parks,Ambient; space; Sci Fi; Tense; Mysterious; Suspense,Strings; Synthesizer; Synth Bass; Mallets; Percussion
05/08/20 05:57PM,52,Upgradable homogeneous adapter,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,2:39,Orchestral,Film Score,Jordan Richmond; Christine Morris; Dana Booth; Charles Moore; Kevin Lee,Tense; Suspense; Mysterious; Ambient; Sci Fi; Uncertain,Strings; Mallets; Synth Bass; Percussion; Brass Section
05/08/20 06:04PM,53,Upgradable clear-thinking utilization,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,2:36,Orchestral,Film Score,Christopher Smith; Samuel Murray; Russell Obrien; Laura Hendricks; Andrew Buchanan,Mysterious; Suspense; Tense; Ambient; Uncertain; Sci Fi,Mallets; Percussion; Piano
05/11/20 12:25PM,54,Persistent stable paradigm,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,2:23,Hip Hop,Modern,Brad Livingston; Joseph Glenn; Amy Edwards; Justin Martin; David Gutierrez,Party; Epic; Pump-Up; Bass; Upbeat; Catchy,Piano; Electric Piano; Percussion; Hand Drums; Turntables; Sound Effects; Drums; Electronic Drums; Synth Bass; Synth Pad; Synthesizer
05/11/20 01:13PM,55,Vision-oriented composite alliance,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,0:32,Orchestral,Film Score,Jordan Richmond; Monica Pennington; Kyle Henry; Kimberly Salazar; Jordan Jensen,Happy; Fairytale; Happy Ending; Feel Good; Emotional; Inspirational; Loving,Strings; Brass Section; Percussion; Timpani; Choir; Brass
05/11/20 01:17PM,56,Organized non-volatile framework,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:58,Gospel,None,Courtney Kramer; Robert Martinez; Michael Daniels; Ashley Madden; Brenda Anderson,Upbeat; reflective; Emotional; Nostalgic; Feel Good; Heart Warming,Bass Guitar; Drums; Electric Piano; Electric Guitar; Slide Guitar; Tambourine
05/11/20 02:45PM,57,Business-focused well-modulated functionalities,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,2:28,Orchestral,Contemporary,Gerald Henry; Arthur Hood; Sabrina Santiago; Deborah Leon; Kathleen Lindsey,Tense; Suspense; Mysterious; Sci Fi; Dramatic; Uncertain; Scary,Synthesizer; Mallets; Percussion; Strings
05/11/20 02:58PM,58,Universal context-sensitive product,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,0:33,Orchestral,Film Score,Donald Adams; Anthony Small; Lisa Taylor; Bryan Martin; Stephanie Jordan,Magestic; Wonder; Awe; Dream Sequence; Inspired; Happy; Uplifting; magical,Strings; Piano; Percussion
05/11/20 04:07PM,59,Reactive heuristic strategy,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,2:27,Electronica,None,Brandon Smith; Rodney Brady; James Reynolds; Kimberly Williams; Lisa Taylor,Upbeat; Sci Fi; Mysterious; Suspense; Tense; Dramatic; Ambient,Percussion; Synth Bass; Synthesizer; Piano
05/11/20 04:33PM,60,Phased web-enabled neural-net,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,2:28,Orchestral,Contemporary,Lucas Gonzalez; Nicole Zhang; John Torres; Maria Young; Bethany Kelly,Ambient; Calm; Mysterious; Uncertain; Tense; Suspense,Mallets; Synthesizer; Strings; Keyboards
05/11/20 05:31PM,61,Reverse-engineered contextually-based matrices,Azul cielo profundo,Angélica Uriarte Carrillo,Anthony Martin,2:33,Pop,Electronic,Amber Harrington; Edward Bell; Angela Garcia; Mark Hines; Amy Ramirez,,Percussion
05/11/20 05:59PM,62,Public-key next generation strategy,Marrón madera rústica,Alfredo Ródenas Valderrama,Rodney Gutierrez,3:03,Pop,Electronic,Susan Kelly; Daniel Turner; Anthony Scott; Maria Dean; Lindsey Austin,,Synth Bass; Synth Pad; Synthesizer; Electric Piano; Piano; Electronic Drums; Shakers Maracas; Sound Effects; Percussion
05/11/20 07:55PM,63,Secured human-resource workforce,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,2:37,Pop,Electronic,Robert Randall; Lauren Beard; Scott Tucker; Michael Chung; Angela Jackson,,Percussion
05/12/20 12:25PM,64,Seamless tertiary protocol,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,1:44,Orchestral,Film Score,Dylan Thomas; Lisa Wright; Elizabeth Fernandez; Tara Nelson; Deanna Johnson,Intense; Dark; Mysterious; Suspense; Tension; Uncertain,Strings; Percussion; Synthesizer
05/12/20 05:37PM,65,Programmable high-level capability,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,1:07,Folk,Contemporary,Sandra Johnson; Emily Brown; James Hoffman; Thomas Adams; Zachary Kelly,Calm; Peaceful; Happy; folk; Uplifting; Sentimental; reflective,Acoustic Guitar; Piano; Percussion
05/13/20 04:35PM,66,Reactive asynchronous frame,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:36,Orchestral,Contemporary,Ana Morgan; Julie Rodriguez; Brenda Thomas; Brenda Mccoy; Donald Adams,Intense; Dramatic; Suspense; Tension; Uncertain; Epic; Dynamic,Strings; Percussion
05/13/20 05:00PM,67,Focused hybrid moratorium,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,1:12,Orchestral,Film Score,Jason Ramsey; Leslie King; Edward Edwards; Brianna Rowe; Tracy Reed,Happy; Uplifting; Feel Good; Light Hearted; Easy Listening; Inspirational,Acoustic Guitar; Piano; Percussion
05/14/20 02:19AM,68,Enterprise-wide transitional frame,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,2:43,Electronica,EDM,Erica Lee; Jennifer Conner; Kimberly Anderson; Mary Edwards; Joseph Weiss,,Synth Bass; Synthesizer; Drums; Percussion
05/14/20 10:56AM,69,Open-architected regional hardware,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,1:48,Dark Orchestral,None,Mason Barker; Susan Alvarado; John Rogers; Laurie Clark DVM; Lori Ward,Dark; Intense; Mysterious; Tense; Suspenseful; Dramatic,Keyboards; Synth Pad; Synthesizer
05/14/20 11:09AM,70,Mandatory scalable circuit,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,2:40,Dark Orchestral,None,Dr. Cody Arnold; Derek Barrett; Lauren Beard; James Morgan; Julia Spears,Upbeat; Mysterious; Tense; Suspenseful; Dramatic; Dark,Percussion; Synth Pad; Synthesizer
05/14/20 11:33AM,71,Robust content-based algorithm,Rojo oscuro,Reyes Collado-Ferrera,Eusebia Colom Valcárcel,2:39,Dark Orchestral,None,Vanessa Davis; Monica Johnson; Richard Byrd; Walter Wells; Walter Wells,Medical; Science; covid; Coronavirus; Suspense; Tense; Mysterious,Synthesizer; Keyboards; Synth Pad
05/14/20 07:50PM,72,Centralized object-oriented productivity,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:14,Orchestral,Film Score,Zachary Perez; Leslie Summers; Kristin Howe; Joshua Ward; Victor Tate,Dark; Intense; Mysterious; Suspense; Tension; Dramatic,Violin; Cello; Drums; Percussion; Accordion
05/15/20 06:08PM,73,Phased maximized synergy,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,2:11,Electronica,Ambient,Tracy Reed; Kylie Arias; Krista Hernandez; Lisa Wilson; Gabrielle Torres,Light Hearted; Peaceful; Happy; hopeful; Uplifting; Inspirational,Percussion; Piano; Strings
05/18/20 02:15PM,74,Enterprise-wide user-facing open system,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,2:05,Orchestral,Bed,Ashley Cortez; Evelyn Mays; James Harding; Tammy Holt; Sherry Martin,Intense; Dramatic; Suspense; Action; Epic; Powerful,Electric Guitar; Synth Bass; Brass; Strings; Percussion
05/18/20 05:27PM,75,Ameliorated didactic hierarchy,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,2:18,Rock,Indie,Paul Murphy; Donna Goodwin; Richard Ward; Crystal Johnson DDS; Bonnie Parsons,Chill; Bedroom Pop; jangle; Indie,Acoustic Guitar; Mellotron; Synthesizer; Drums; Electric Guitar; Bass Guitar; Percussion
05/19/20 02:19PM,76,Synergized mobile strategy,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,2:16,Hip Hop,Modern,Sarah Figueroa; Christopher Jenkins; Christopher Powers; Joanna White; Diane Mcdonald,Intense; Dramatic; Suspense; Tense; Uncertain; Stress,Strings; Sound Effects; Brass; Synth Bass; Synthesizer; Electronic Drums; Shakers Maracas; Piano; Percussion
